cited_author,wos-uid
Christopher,WOS:000909430000001
"MacBride-Stewart, Sara",WOS:000909430000001
Remillard,WOS:000909430000001
Kallimanis,WOS:000909430000001
Pierce,WOS:000909430000001
Latchem-Hastings,WOS:000909430000001
"Woodside, D. P.",WOS:000909430000001
Carrillo,WOS:000909430000001
"Fabiano, Joao",WOS:000929959600002
"Goering, Sara",WOS:000929959600002
"Lewis, Jonathan",WOS:000929959600002
"Gray, Jesse",WOS:000929959600002
"Rizal, Yan",WOS:000929959600002
"Lenton, Timothy M.",WOS:000929959600002
"Hauskeller, Michael",WOS:000929959600002
"Subak, S.",WOS:000929959600002
"Brown, Timothy",WOS:000929959600002
"Peterson, Carole",WOS:000929959600002
"Kadlac, Adam",WOS:000929959600002
"Crutchfield, Parker",WOS:000929959600002
"Inbadas, Hamilton",WOS:000929959600002
"Pugh, Jonathan",WOS:000929959600002
"de Haan, Sanneke",WOS:000929959600002
"Klein, Eran",WOS:000929959600002
"Archer, Alfred",WOS:000929959600002
"Hughes, James J.",WOS:000929959600002
"Wardrope, Alistair",WOS:000929959600002
"Sparrow, Robert",WOS:000929959600002
"Kraemer, Felicitas",WOS:000929959600002
"Agar, N",WOS:000929959600002
"Klein, Stanley B.",WOS:000929959600002
"Agar, Nicholas",WOS:000929959600002
"Douglas, Thomas",WOS:000929959600002
"Sparrow, Robert James",WOS:000929959600002
"Kraemer, Felicitas",WOS:000929959600002
"Agar, N.",WOS:000929959600002
"Buchanan, Allen",WOS:000929959600002
"Bostrom, Nick",WOS:000929959600002
"McMahan, Jeff",WOS:000929959600002
"Bostrom, Nick",WOS:000929959600002
"Degrazia, David",WOS:000929959600002
"Bolt, L. L. E.",WOS:000929959600002
"Harris, John",WOS:000929959600002
"Schupbach, M.",WOS:000929959600002
"Fivush, R",WOS:000929959600002
"Bruce, D",WOS:000929959600002
"Bostrom, N",WOS:000929959600002
"Fivush, R",WOS:000929959600002
"Sandel, Michael J",WOS:000929959600002
"Bostrom, N",WOS:000929959600002
"McElrath, K",WOS:000929959600002
"Eisner, B",WOS:000929959600002
"LEARY, T",WOS:000929959600002
"SINGER, P.",WOS:000929959600002
"Hartogsohn, Ido.",WOS:000929959600002
"Good, I.",WOS:000929959600002
"Doris, J. M",WOS:000929959600002
"Persson, I.",WOS:000929959600002
"Sandel, MJ",WOS:000929959600002
"Roduit, Johann",WOS:000929959600002
"Kurzweil, R",WOS:000929959600002
"Goering, S",WOS:000929959600002
"More, M.",WOS:000929959600002
"Erikson, E.",WOS:000929959600002
"Kass, Leon",WOS:000929959600002
"Bostrom, Nick",WOS:000929959600002
"Fukuyama, F.",WOS:000929959600002
"Coeckelbergh, M",WOS:000929959600002
"Ryder, Richard",WOS:000929959600002
"Davies, Ben.",WOS:000929959600002
"Hutter, Marcus",WOS:000929959600002
"Buchanan, Allen.",WOS:000929959600002
"Bankins, Sarah",WOS:000930197100001
"Formosa, Paul",WOS:000930197100001
"Ryan, Mark",WOS:000930197100001
"Parker, Sharon K.",WOS:000930197100001
"Selenko, Eva",WOS:000930197100001
"Bankins, Sarah",WOS:000930197100001
"Formosa, Paul",WOS:000930197100001
"Formosa, Paul",WOS:000930197100001
"Grogger, Jeffrey",WOS:000930197100001
"Berk, Richard A.",WOS:000930197100001
"Bourmault, Nishani",WOS:000930197100001
Pei Wang,WOS:000930197100001
"Webster, Craig",WOS:000930197100001
